1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
W 8600  646  615 -1080
R 8600 -589  544 -1630
W 8620  646  615 -1080
R 8620 -589  544 -1630
W 8640  646  615 -1080
R 8640 -589  544 -1630
W 8660  646  615 -1080
R 8660 -589  544 -1630
W 8680  646  615 -1080
R 8680 -589  544 -1630
W 8700  646  615 -1080
R 8700 -589  544 -1630
W 8720  646  615 -1080
R 8720 -589  544 -1630
W 8740  646  615 -1080
R 8740 -589  544 -1630
W 8760  646  615 -1080
R 8760 -589  544 -1630
W 8780  646  615 -1080
R 8780 -589  544 -1630
W 8800  646  615 -1080
R 8800 -589  544 -1630
W 8820  646  615 -1080
R 8820 -589  544 -1630
W 8840  646  615 -1080
R 8840 -589  544 -1630
W 8860  646  615 -1080
R 8860 -589  544 -1630
W 8880  646  615 -1080
R 8880 -589  544 -1630
W 8900  646  615 -1080
R 8900 -589  544 -1630
W 8920  646  615 -1080
R 8920 -589  544 -1630
W 8940  646  615 -1080
R 8940 -589  544 -1630
W 8960  646  615 -1080
R 8960 -589  544 -1630
W 8980  646  615 -1080
R 8980 -589  544 -1630
W 9000  646  615 -1080
R 9000 -589  544 -1630
W 9020  646  615 -1080
R 9020 -589  544 -1630
W 9040  646  615 -1080
R 9040 -589  544 -1630
W 9060  646  615 -1080
R 9060 -589  544 -1630
W 9080  646  615 -1080
R 9080 -589  544 -1630
W 9100  646  615 -1080
R 9100 -589  544 -1630
W 9120  646  615 -1080
R 9120 -589  544 -1630
W 9140  646  615 -1080
R 9140 -589  544 -1630
W 9160  646  615 -1080
R 9160 -589  544 -1630
W 9180  646  615 -1080
R 9180 -589  544 -1630
W 9200  646  615 -1080
R 9200 -589  544 -1630
W 9220  646  615 -1080
R 9220 -589  544 -1630
W 9240  646  615 -1080
R 9240 -589  544 -1630
W 9260  646  615 -1080
R 9260 -589  544 -1630
W 9280  646  615 -1080
R 9280 -589  544 -1630
W 9300  646  615 -1080
R 9300 -589  544 -1630
W 9320  646  615 -1080
R 9320 -589  544 -1630
W 9340  646  615 -1080
R 9340 -589  544 -1630
W 9360  646  615 -1080
R 9360 -589  544 -1630
W 9380  646  615 -1080
R 9380 -589  544 -1630
W 9400  646  615 -1080
R 9400 -589  544 -1630
W 9420  646  615 -1080
R 9420 -589  544 -1630
W 9440  646  615 -1080
R 9440 -589  544 -1630
W 9460  646  615 -1080
R 9460 -589  544 -1630
W 9480  646  615 -1080
R 9480 -589  544 -1630
W 9500  646  615 -1080
R 9500 -589  544 -1630
W 9520  646  615 -1080
R 9520 -589  544 -1630
W 9540  646  615 -1080
R 9540 -589  544 -1630
W 9560  646  615 -1080
R 9560 -589  544 -1630
W 9580  646  615 -1080
R 9580 -589  544 -1630
W 9600  646  615 -1080
R 9600 -589  544 -1630
W 9620  646  615 -1080
R 9620 -589  544 -1630
W 9640  646  615 -1080
R 9640 -589  544 -1630
W 9660  646  615 -1080
R 9660 -589  544 -1630
W 9680  646  615 -1080
R 9680 -589  544 -1630
W 9700  646  615 -1080
R 9700 -589  544 -1630
W 9720  646  615 -1080
R 9720 -589  544 -1630
W 9740  646  615 -1080
R 9740 -589  544 -1630
W 9760  646  615 -1080
R 9760 -589  544 -1630
W 9780  646  615 -1080
R 9780 -589  544 -1630
W 9800  646  615 -1080
R 9800 -589  544 -1630
W 9820  646  615 -1080
R 9820 -589  544 -1630
W 9840  646  615 -1080
R 9840 -589  544 -1630
W 9860  646  615 -1080
R 9860 -589  544 -1630
W 9880  646  615 -1080
R 9880 -589  544 -1630
W 9900  646  615 -1080
R 9900 -589  544 -1630
W 9920  646  615 -1080
R 9920 -589  544 -1630
W 9940  646  615 -1080
R 9940 -589  544 -1630
W 9960  646  615 -1080
R 9960 -589  544 -1630
W 9980  646  615 -1080
R 9980 -589  544 -1630
W 10000  646  615 -1080
